summary,value
total_data_rows,96
already_has_branch_code,1
filled_branch_code,93
blank_branch_name_rows_skipped,2
ambiguous_rows,0
unmatched_rows,0

filled_rows
csv_row_number,main_branch_code,branch_name,filled_cost_center,match_method,matched_costcenter_name
64,340,(ย่อย 7) กรุงชิง,2005055,main_branch_code + branch_name,(ย่อย 4) กรุงชิง | ย่อย กรุงชิง
65,49,(ย่อย 4) ถนนธานี,2002598,main_branch_code + branch_name,(ย่อย 3) ถนนธานี | ย่อย ถนนธานี
66,84,(ย่อย 9) ถนนกระบี่ (โรงเรียนอำมาตย์),2005398,main_branch_code + branch_name,(ย่อย 12) ถนนกระบี่ (โรงเรียนอำมาตย์) | ย่อย ถนนกระบี่ (โรงเรียนอำมาตย์)
67,197,พระประแดง,2001791,main_branch_code + branch_name,พระประแดง | พระประแดง
68,164,(ย่อย 5) ถนนสุวินทวงศ์ (ตลาดลำผักชี) กรุงเทพฯ,2003295,main_branch_code + branch_name,(ย่อย 7) ถนนสุวินทวงศ์ (ตลาดลำผักชี) กรุงเทพฯ | ย่อย ถนนสุวินทวงศ์ (ตลาดลำผักชี) กรุงเทพฯ
69,126,(ย่อย 11) ช้างกลาง,2002211,main_branch_code + branch_name,(ย่อย 17) ช้างกลาง | ย่อย ช้างกลาง
70,295,(ย่อย 8) หนองบ่อ,2005504,main_branch_code + branch_name,(ย่อย 21) หนองบ่อ | ย่อย หนองบ่อ
71,374,ฮอด,2000046,main_branch_code + branch_name,ฮอด | ฮอด
72,271,(ย่อย 3) พนมรอก,2001817,main_branch_code + branch_name,(ย่อย 9) พนมรอก | ย่อย พนมรอก
73,334,(ย่อย 7) บ้านนาอ้อ,2003153,main_branch_code + branch_name,(ย่อย 3) บ้านนาอ้อ | ย่อย บ้านนาอ้อ
74,370,(ย่อย 5) คำเตย,2002024,main_branch_code + branch_name,(ย่อย 12) คำเตย | ย่อย คำเตย
75,165,(ศ.6) ศูนย์ฯ ดงขุย 2,2004443,main_branch_code + branch_name,(ศ.12) ศูนย์ฯ ดงขุย 2 (ย.5) | ศูนย์ฯ ดงขุย 2
76,200,(ศ.7) ศูนย์ฯ สี่แยกแพรกหา (ควนขนุน),2005384,main_branch_code + branch_name,(ศ.12) ศูนย์ฯ สี่แยกแพรกหา (ควนขนุน) (ย.9) | ศูนย์ฯ สี่แยกแพรกหา (ควนขนุน)
77,192,(ย่อย 2) แจ้ห่ม,2000129,main_branch_code + branch_name,(ย่อย 4) แจ้ห่ม | ย่อย แจ้ห่ม
78,264,(ศ.17) ศูนย์ฯ สันทรายกองงาม,2008742,main_branch_code + branch_name,(ศ.13) ศูนย์ฯ สันทรายกองงาม (ย.5) | ศูนย์ฯ สันทรายกองงาม
79,254,(ย่อย 12) คลองใหม่,2002235,main_branch_code + branch_name,(ย่อย 4) คลองใหม่ | ย่อย คลองใหม่
80,238,(ย่อย 11) วัดสระสี่เหลี่ยม,2004797,main_branch_code + branch_name,(ย่อย 4) วัดสระสี่เหลี่ยม | ย่อย วัดสระสี่เหลี่ยม
81,272,(ย่อย 1) ดอนมดแดง,2002730,main_branch_code + branch_name,(ย่อย 3) ดอนมดแดง | ย่อย ดอนมดแดง
82,252,(ย่อย 13) หมู่บ้านรินทิชา,2005730,main_branch_code + branch_name,(ย่อย 10) หมู่บ้านรินทิชา | ย่อย หมู่บ้านรินทิชา
83,277,(ย่อย 8) ทองเลื่อน,2001423,main_branch_code + branch_name,(ย่อย 14) ทองเลื่อน | ย่อย ทองเลื่อน
84,300,(ย่อย 3) บ้านเพชร,2001472,main_branch_code + branch_name,(ย่อย 9) บ้านเพชร | ย่อย บ้านเพชร
85,391,(ศ.6) ศูนย์ฯ วัดนก,2005210,main_branch_code + branch_name,(ศ.6) ศูนย์ฯ วัดนก (ย.8) | ศูนย์ฯ วัดนก
86,22,(ย่อย 2) เถิน,2000070,main_branch_code + branch_name,(ย่อย 3) เถิน | ย่อย เถิน
87,224,(ย่อย 2) ลำทะเมนชัย,2001169,main_branch_code + branch_name,(ย่อย 7) ลำทะเมนชัย | ย่อย ลำทะเมนชัย
88,120,(ศ.1) ศูนย์ฯ ภูหลวง,2000510,main_branch_code + branch_name,(ศ.5) ศูนย์ฯ ภูหลวง (ย.1) | ศูนย์ฯ ภูหลวง
89,383,เวียงสา,2000181,main_branch_code + branch_name,เวียงสา | เวียงสา
90,346,ท่าบ่อ,2000598,main_branch_code + branch_name,ท่าบ่อ | ท่าบ่อ
91,193,(ศ.8) ศูนย์ฯ บ้านโนนทอง,2005930,main_branch_code + branch_name,(ศ.14) ศูนย์ฯ บ้านโนนทอง (ย.1) | ศูนย์ฯ บ้านโนนทอง
92,350,(ศ.8) ศูนย์ฯ บ้านหนองโสน ตราด,2008366,main_branch_code + branch_name,(ศ.8) ศูนย์ฯ บ้านหนองโสน ตราด (ย.16) | ศูนย์ฯ บ้านหนองโสน ตราด
93,296,(ศ.14) ศูนย์ฯ บ้านหนองไฮ,2007321,main_branch_code + branch_name,(ศ.19) ศูนย์ฯ บ้านหนองไฮ (ย.1) | ศูนย์ฯ บ้านหนองไฮ
94,388,หนองฉาง,2000832,main_branch_code + branch_name,หนองฉาง | หนองฉาง
95,58,(ย่อย 6) ดาวเรือง - หนองแค,2002680,main_branch_code + branch_name,(ย่อย 5) ดาวเรือง - หนองแค | ย่อย ดาวเรือง - หนองแค
